"","Impacts","Answer","Scenario","Time","5%","50%","95%"
"1","Ab_Blueberry","Adaptation","baseline BudwormBaselineFire",2010,0.3833333,0.3833333,0.383333333333333
"2","Ab_Blueberry","Adaptation","baseline BudwormBaselineFire",2020,0.3604082728982,0.3607313,0.383333333333333
"3","Ab_Blueberry","Adaptation","baseline BudwormBaselineFire",2030,0.3480628,0.3518382,0.3554047
"4","Ab_Blueberry","Adaptation","baseline BudwormBaselineFire",2040,0.3687675,0.3696078,0.370362
"5","Ab_Blueberry","Adaptation","baseline BudwormBaselineFire",2050,0.3591036,0.3653566,0.370361994570136
"6","Ab_Blueberry","Adaptation","baseline BudwormBaselineFire",2060,0.3352157,0.3400636,0.3629412
"7","Ab_Blueberry","Adaptation","baseline BudwormBaselineFire",2070,0.352745098039216,0.3585714,0.3673109
"8","Ab_Blueberry","Adaptation","baseline BudwormBaselineFire",2080,0.3400636,0.3478378,0.371680683361345
"9","Ab_Blueberry","Adaptation","baseline BudwormBaselineFire",2090,0.3558294,0.36242277733011,0.3699948
"10","Ab_Blueberry","Adaptation","baseline BudwormBaselineFire",2100,0.3527451,0.360028,0.3673109
"11","Ab_Blueberry","Adaptation","baseline BudwormBaselineFireCPRS0.5Harvest",2010,0.3482263,0.3564729,0.3833333
"12","Ab_Blueberry","Adaptation","baseline BudwormBaselineFireCPRS0.5Harvest",2020,0.3386741,0.3490151,0.35856744
"13","Ab_Blueberry","Adaptation","baseline BudwormBaselineFireCPRS0.5Harvest",2030,0.33484862,0.3409746,0.3548152
"14","Ab_Blueberry","Adaptation","baseline BudwormBaselineFireCPRS0.5Harvest",2040,0.3094492,0.322027299665847,0.3438235
"15","Ab_Blueberry","Adaptation","baseline BudwormBaselineFireCPRS0.5Harvest",2050,0.31266612,0.319487,0.3362185
"16","Ab_Blueberry","Adaptation","baseline BudwormBaselineFireCPRS0.5Harvest",2060,0.2886621,0.2947009,0.3033088
"17","Ab_Blueberry","Adaptation","baseline BudwormBaselineFireCPRS0.5Harvest",2070,0.3023181,0.3071983,0.324126659661563
"18","Ab_Blueberry","Adaptation","baseline BudwormBaselineFireCPRS0.5Harvest",2080,0.27911318,0.2918906,0.31508098516624
"19","Ab_Blueberry","Adaptation","baseline BudwormBaselineFireCPRS0.5Harvest",2090,0.2741148,0.2851012,0.30617386
"20","Ab_Blueberry","Adaptation","baseline BudwormBaselineFireCPRS0.5Harvest",2100,0.2919991,0.296573545806282,0.311582615771065
"21","Ab_Blueberry","Adaptation","baseline BudwormBaselineFireCPRS1.5Harvest",2010,0.3472159,0.3498898,0.3606443
"22","Ab_Blueberry","Adaptation","baseline BudwormBaselineFireCPRS1.5Harvest",2020,0.3188515,0.322577,0.3259804
